"","lv","Annotation","cell_type","value","sample","patient","Groups"
"63","3","plasma cells-tumor cells","epithelium","0.0","reg001","1","1"
"64","3","plasma cells-tumor cells","lymphatics","0.0","reg001","1","1"
"65","3","plasma cells-tumor cells","macrophages (M1=M2)","0.08108108108108109","reg001","1","1"
"66","3","plasma cells-tumor cells","macrophages (M1>M2)","0.10810810810810811","reg001","1","1"
"67","3","plasma cells-tumor cells","macrophages (M2>M1)","0.016216216216216217","reg001","1","1"
"68","3","plasma cells-tumor cells","mast cells","0.0","reg001","1","1"
"69","3","plasma cells-tumor cells","nerves","0.0","reg001","1","1"
"70","3","plasma cells-tumor cells","neutrophils","0.02702702702702703","reg001","1","1"
"71","3","plasma cells-tumor cells","plasma cells","0.24324324324324326","reg001","1","1"
"72","3","plasma cells-tumor cells","stroma","0.08648648648648649","reg001","1","1"
"73","3","plasma cells-tumor cells","tumor cells","0.12972972972972974","reg001","1","1"
"74","3","plasma cells-tumor cells","tumor cells, intraepithelial","0.005405405405405406","reg001","1","1"
"75","3","plasma cells-tumor cells","vasculature","0.005405405405405406","reg001","1","1"
"76","4","tumor cells-CD8+ T cells","B cells","0.032","reg001","1","1"
"77","4","tumor cells-CD8+ T cells","CD4+ T cells","0.016","reg001","1","1"
"78","4","tumor cells-CD8+ T cells","CD8+ T cells","0.192","reg001","1","1"
"79","4","tumor cells-CD8+ T cells","CLA+ leukocytes","0.008","reg001","1","1"
"80","4","tumor cells-CD8+ T cells","Langerhans cells","0.048","reg001","1","1"
"81","4","tumor cells-CD8+ T cells","Tregs","0.112","reg001","1","1"
"82","4","tumor cells-CD8+ T cells","epithelium","0.016","reg001","1","1"
"83","4","tumor cells-CD8+ T cells","lymphatics","0.0","reg001","1","1"
"84","4","tumor cells-CD8+ T cells","macrophages (M1=M2)","0.016","reg001","1","1"
"85","4","tumor cells-CD8+ T cells","macrophages (M1>M2)","0.088","reg001","1","1"
"86","4","tumor cells-CD8+ T cells","macrophages (M2>M1)","0.0","reg001","1","1"
"87","4","tumor cells-CD8+ T cells","mast cells","0.0","reg001","1","1"
"88","4","tumor cells-CD8+ T cells","nerves","0.0","reg001","1","1"
"89","4","tumor cells-CD8+ T cells","neutrophils","0.008","reg001","1","1"
"90","4","tumor cells-CD8+ T cells","plasma cells","0.016","reg001","1","1"
"91","4","tumor cells-CD8+ T cells","stroma","0.056","reg001","1","1"
"92","4","tumor cells-CD8+ T cells","tumor cells","0.328","reg001","1","1"
"93","4","tumor cells-CD8+ T cells","tumor cells, intraepithelial","0.056","reg001","1","1"
"94","4","tumor cells-CD8+ T cells","vasculature","0.008","reg001","1","1"
"95","5","epithelium-tumor cells","B cells","0.0","reg001","1","1"
"96","5","epithelium-tumor cells","CD4+ T cells","0.008620689655172414","reg001","1","1"
"97","5","epithelium-tumor cells","CD8+ T cells","0.034482758620689655","reg001","1","1"
"98","5","epithelium-tumor cells","CLA+ leukocytes","0.0","reg001","1","1"
"99","5","epithelium-tumor cells","Langerhans cells","0.0","reg001","1","1"
"100","5","epithelium-tumor cells","Tregs","0.0","reg001","1","1"
"101","5","epithelium-tumor cells","epithelium","0.7327586206896551","reg001","1","1"
"102","5","epithelium-tumor cells","lymphatics","0.0","reg001","1","1"
"103","5","epithelium-tumor cells","macrophages (M1=M2)","0.008620689655172414","reg001","1","1"
"104","5","epithelium-tumor cells","macrophages (M1>M2)","0.0603448275862069","reg001","1","1"
"105","5","epithelium-tumor cells","macrophages (M2>M1)","0.008620689655172414","reg001","1","1"
"106","5","epithelium-tumor cells","mast cells","0.0","reg001","1","1"
"107","5","epithelium-tumor cells","nerves","0.008620689655172414","reg001","1","1"
"108","5","epithelium-tumor cells","neutrophils","0.0","reg001","1","1"
"109","5","epithelium-tumor cells","plasma cells","0.008620689655172414","reg001","1","1"
"110","5","epithelium-tumor cells","stroma","0.034482758620689655","reg001","1","1"
"111","5","epithelium-tumor cells","tumor cells","0.07758620689655173","reg001","1","1"
"112","5","epithelium-tumor cells","tumor cells, intraepithelial","0.017241379310344827","reg001","1","1"
"113","5","epithelium-tumor cells","vasculature","0.0","reg001","1","1"
"114","6","tumor cells-lymphatics","B cells","0.045454545454545456","reg001","1","1"
"115","6","tumor cells-lymphatics","CD4+ T cells","0.030303030303030304","reg001","1","1"
"116","6","tumor cells-lymphatics","CD8+ T cells","0.045454545454545456","reg001","1","1"
"117","6","tumor cells-lymphatics","CLA+ leukocytes","0.0","reg001","1","1"
"118","6","tumor cells-lymphatics","Langerhans cells","0.045454545454545456","reg001","1","1"
"119","6","tumor cells-lymphatics","Tregs","0.10606060606060606","reg001","1","1"
"120","6","tumor cells-lymphatics","epithelium","0.0","reg001","1","1"
"121","6","tumor cells-lymphatics","lymphatics","0.16666666666666666","reg001","1","1"
"122","6","tumor cells-lymphatics","macrophages (M1=M2)","0.10606060606060606","reg001","1","1"
"123","6","tumor cells-lymphatics","macrophages (M1>M2)","0.15151515151515152","reg001","1","1"
"124","6","tumor cells-lymphatics","macrophages (M2>M1)","0.030303030303030304","reg001","1","1"
"125","6","tumor cells-lymphatics","mast cells","0.0","reg001","1","1"
"126","6","tumor cells-lymphatics","nerves","0.0","reg001","1","1"
"127","6","tumor cells-lymphatics","neutrophils","0.0","reg001","1","1"
"128","6","tumor cells-lymphatics","plasma cells","0.0","reg001","1","1"
"129","6","tumor cells-lymphatics","stroma","0.06060606060606061","reg001","1","1"
"130","6","tumor cells-lymphatics","tumor cells","0.21212121212121213","reg001","1","1"
"131","6","tumor cells-lymphatics","tumor cells, intraepithelial","0.0","reg001","1","1"
"132","6","tumor cells-lymphatics","vasculature","0.0","reg001","1","1"
"133","7","Tregs-tumor cells","B cells","0.021739130434782608","reg001","1","1"
"134","7","Tregs-tumor cells","CD4+ T cells","0.0","reg001","1","1"
"135","7","Tregs-tumor cells","CD8+ T cells","0.0","reg001","1","1"
"136","7","Tregs-tumor cells","CLA+ leukocytes","0.0","reg001","1","1"
"137","7","Tregs-tumor cells","Langerhans cells","0.0","reg001","1","1"
"138","7","Tregs-tumor cells","Tregs","0.5","reg001","1","1"
"139","7","Tregs-tumor cells","epithelium","0.0","reg001","1","1"
"140","7","Tregs-tumor cells","lymphatics","0.043478260869565216","reg001","1","1"
"141","7","Tregs-tumor cells","macrophages (M1=M2)","0.06521739130434782","reg001","1","1"
"142","7","Tregs-tumor cells","macrophages (M1>M2)","0.043478260869565216","reg001","1","1"
"143","7","Tregs-tumor cells","macrophages (M2>M1)","0.0","reg001","1","1"
"144","7","Tregs-tumor cells","mast cells","0.0","reg001","1","1"
"145","7","Tregs-tumor cells","nerves","0.021739130434782608","reg001","1","1"
"146","7","Tregs-tumor cells","neutrophils","0.0","reg001","1","1"
"147","7","Tregs-tumor cells","plasma cells","0.0","reg001","1","1"
"148","7","Tregs-tumor cells","stroma","0.10869565217391304","reg001","1","1"
"149","7","Tregs-tumor cells","tumor cells","0.13043478260869565","reg001","1","1"
"150","7","Tregs-tumor cells","tumor cells, intraepithelial","0.043478260869565216","reg001","1","1"
"151","7","Tregs-tumor cells","vasculature","0.021739130434782608","reg001","1","1"
"0","0","stroma-tumor cells","B cells","0.0","reg002","1","1"
"1","0","stroma-tumor cells","CD4+ T cells","0.008385744234800839","reg002","1","1"
"2","0","stroma-tumor cells","CD8+ T cells","0.033542976939203356","reg002","1","1"
"3","0","stroma-tumor cells","CLA+ leukocytes","0.0020964360587002098","reg002","1","1"
"4","0","stroma-tumor cells","Langerhans cells","0.008385744234800839","reg002","1","1"
"5","0","stroma-tumor cells","Tregs","0.0440251572327044","reg002","1","1"
"6","0","stroma-tumor cells","epithelium","0.006289308176100629","reg002","1","1"
"7","0","stroma-tumor cells","lymphatics","0.008385744234800839","reg002","1","1"
"8","0","stroma-tumor cells","macrophages (M1=M2)","0.07756813417190776","reg002","1","1"
"9","0","stroma-tumor cells","macrophages (M1>M2)","0.13626834381551362","reg002","1","1"
"10","0","stroma-tumor cells","macrophages (M2>M1)","0.014675052410901468","reg002","1","1"
"11","0","stroma-tumor cells","mast cells","0.0020964360587002098","reg002","1","1"
"12","0","stroma-tumor cells","nerves","0.014675052410901468","reg002","1","1"
"13","0","stroma-tumor cells","neutrophils","0.010482180293501049","reg002","1","1"
"14","0","stroma-tumor cells","plasma cells","0.010482180293501049","reg002","1","1"
"15","0","stroma-tumor cells","stroma","0.34591194968553457","reg002","1","1"
"16","0","stroma-tumor cells","tumor cells","0.14465408805031446","reg002","1","1"
"17","0","stroma-tumor cells","tumor cells, intraepithelial","0.0020964360587002098","reg002","1","1"
"18","0","stroma-tumor cells","vasculature","0.129979035639413","reg002","1","1"
"19","1","tumor cells-macrophages (M1>M2)","B cells","0.008403361344537815","reg002","1","1"
"20","1","tumor cells-macrophages (M1>M2)","CD4+ T cells","0.03991596638655462","reg002","1","1"
"21","1","tumor cells-macrophages (M1>M2)","CD8+ T cells","0.09453781512605042","reg002","1","1"
"22","1","tumor cells-macrophages (M1>M2)","CLA+ leukocytes","0.0021008403361344537","reg002","1","1"
"23","1","tumor cells-macrophages (M1>M2)","Langerhans cells","0.01050420168067227","reg002","1","1"
"24","1","tumor cells-macrophages (M1>M2)","Tregs","0.10714285714285714","reg002","1","1"
"25","1","tumor cells-macrophages (M1>M2)","epithelium","0.0021008403361344537","reg002","1","1"
"26","1","tumor cells-macrophages (M1>M2)","lymphatics","0.0","reg002","1","1"
"27","1","tumor cells-macrophages (M1>M2)","macrophages (M1=M2)","0.09033613445378151","reg002","1","1"
"28","1","tumor cells-macrophages (M1>M2)","macrophages (M1>M2)","0.12605042016806722","reg002","1","1"
"29","1","tumor cells-macrophages (M1>M2)","macrophages (M2>M1)","0.03571428571428571","reg002","1","1"
"30","1","tumor cells-macrophages (M1>M2)","mast cells","0.004201680672268907","reg002","1","1"
"31","1","tumor cells-macrophages (M1>M2)","nerves","0.008403361344537815","reg002","1","1"
"32","1","tumor cells-macrophages (M1>M2)","neutrophils","0.004201680672268907","reg002","1","1"
"33","1","tumor cells-macrophages (M1>M2)","plasma cells","0.012605042016806723","reg002","1","1"
"34","1","tumor cells-macrophages (M1>M2)","stroma","0.0546218487394958","reg002","1","1"
"35","1","tumor cells-macrophages (M1>M2)","tumor cells","0.36134453781512604","reg002","1","1"
"36","1","tumor cells-macrophages (M1>M2)","tumor cells, intraepithelial","0.025210084033613446","reg002","1","1"
"37","1","tumor cells-macrophages (M1>M2)","vasculature","0.012605042016806723","reg002","1","1"
"38","2","tumor cells-macrophages (M1>M2)","B cells","0.0024154589371980675","reg002","1","1"
"39","2","tumor cells-macrophages (M1>M2)","CD4+ T cells","0.007246376811594203","reg002","1","1"
"40","2","tumor cells-macrophages (M1>M2)","CD8+ T cells","0.01932367149758454","reg002","1","1"
"41","2","tumor cells-macrophages (M1>M2)","CLA+ leukocytes","0.0","reg002","1","1"
"42","2","tumor cells-macrophages (M1>M2)","Langerhans cells","0.0","reg002","1","1"
"43","2","tumor cells-macrophages (M1>M2)","Tregs","0.15217391304347827","reg002","1","1"
"44","2","tumor cells-macrophages (M1>M2)","epithelium","0.014492753623188406","reg002","1","1"
"45","2","tumor cells-macrophages (M1>M2)","lymphatics","0.0","reg002","1","1"
"46","2","tumor cells-macrophages (M1>M2)","macrophages (M1=M2)","0.1280193236714976","reg002","1","1"
"47","2","tumor cells-macrophages (M1>M2)","macrophages (M1>M2)","0.22946859903381642","reg002","1","1"
